LAB_LOINC,RAW_LAB_NAME,n
13458-5,CMP12+LP+6AC,2
2345-7,CMP12+LP+6AC,2
56469-0,CMP12+LP+6AC,2
3084-1,CMP12+LP+6AC,2
17861-6,CMP12+LP+6AC,2
1759-0,CMP12+LP+6AC,2
2075-0,CMP12+LP+6AC,2
2532-0,CMP12+LP+6AC,2
2885-2,CMP12+LP+6AC,2
6768-6,CMP12+LP+6AC,2
2777-1,CMP12+LP+6AC,2
10834-0,CMP12+LP+6AC,2
1751-7,CMP12+LP+6AC,2
1975-2,CMP12+LP+6AC,2
3097-3,CMP12+LP+6AC,2
88294-4,CMP12+LP+6AC,2
88293-6,CMP12+LP+6AC,2
2160-0,CMP12+LP+6AC,2
58413-6,CBC,9
1854-9,ANDROSTENEDIONE,11
30471-7,"LEVETIRACETAM, S LEGACY",5
98980-6,COMPREHENSIVE METABOLIC PANEL,6
11040-3,"CORTISOL FREE RANDOM, URINE",5
2147-7,"CORTISOL FREE RANDOM, URINE",5
2345-7,NON-ALCOHOLIC FATTY LIVER DISEASE CASCADE (NAFLD),3
1751-7,NON-ALCOHOLIC FATTY LIVER DISEASE CASCADE (NAFLD),3
1742-6,NON-ALCOHOLIC FATTY LIVER DISEASE CASCADE (NAFLD),3
777-3,NON-ALCOHOLIC FATTY LIVER DISEASE CASCADE (NAFLD),5
1920-8,NON-ALCOHOLIC FATTY LIVER DISEASE CASCADE (NAFLD),4
,INSULIN,14
,PROTEIN C ACTIVITY,2
,PROTEIN S ACTIVITY,2
,THROMBIN TIME,3
48404-8,"MYELOPEROXIDASE ANTIBODIES, IGG, SERUM- MAYO",9
5126-8,"CYTOMEGALOVIRUS ANTIBODY, IGM",5
,"ESTROGENS, TOTAL",2
2075-0,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
2823-3,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
2160-0,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
2345-7,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
3094-0,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
17861-6,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
1975-2,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
2028-9,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
1742-6,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
1751-7,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
1920-8,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
2885-2,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
1759-0,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
10834-0,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
6768-6,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
2951-2,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
88293-6,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
3097-3,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
88294-4,ADD ON COMPREHENSIVE METABOLIC PANEL LEGACY,1
2075-0,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
2823-3,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
2160-0,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
13457-7,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
789-8,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
13458-5,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
787-2,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
4544-3,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
11580-8,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
6690-2,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
718-7,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
2345-7,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
786-4,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
5905-5,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
785-6,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
751-8,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
777-3,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
788-0,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
736-9,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
770-8,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
713-8,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
3094-0,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
17861-6,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
2324-2,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
2028-9,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
2085-9,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
1975-2,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
2571-8,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
1751-7,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
1742-6,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
1920-8,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
2093-3,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
742-7,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
731-0,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
711-2,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
53115-2,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
71695-1,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
2951-2,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
88293-6,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
3097-3,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
88294-4,BMP8+LP+5AC+CBC/D/PLT+RPR+T...,1
,"ACETYLCHOLINE RECEPTOR, BLOCKING",1
,CYCLIC CITRULLINATED PEPTIDE (CCP) AB (IGG),176
,"HEPATITIS B VIRUS DNA, QN PCR W/REFL HBV GENOTYPE",2
,ANTITHROMBIN III ACTIVATED LEGACY,1
,DRVVT SCREEN W/REFL DRVVT CONF AND DRVVT 1:1 MIX LEGACY,3
1884-6,"APOLIPOPROTEIN B, MAYO",5
41282-5,"CELL COUNT WITH DIFFERENTIAL, BODY FLUID",3
3638-4,FLECAINIDE LEVEL,8
,"GLYCOMARK (1,5-ANHYDROGLUCITOL)",10
5787-7,MICROSCOPIC EXAMINATION LEGACY,6
13945-1,MICROSCOPIC EXAMINATION LEGACY,6
731-0,TOTAL LYMPH COUNT,1
5612-7,"HEAVY METALS SCREEN  WITH REFLEX, 24HR URINE",2
5587-1,"HEAVY METALS SCREEN  WITH REFLEX, 24HR URINE",2
21074-0,"HEAVY METALS SCREEN  WITH REFLEX, 24HR URINE",2
5677-0,"HEAVY METALS SCREEN  WITH REFLEX, 24HR URINE",2
3167-4,"HEAVY METALS SCREEN  WITH REFLEX, 24HR URINE",2
6693-6,"HEAVY METALS SCREEN  WITH REFLEX, 24HR URINE",2
13362-9,"HEAVY METALS SCREEN  WITH REFLEX, 24HR URINE",2
8098-6,THYROID CANCER (THYROGLOBULIN) MONITOR,3
3013-0,Q THYROGLOBULIN,3
709-6,CBC WITH DIFFERENTIAL,7
30376-8,CBC WITH DIFFERENTIAL,7
5993-1,PLATELET AGGREGATION STUDY,4
5995-6,PLATELET AGGREGATION STUDY,4
5992-3,PLATELET AGGREGATION STUDY,4
5998-0,PLATELET AGGREGATION STUDY,4
74097-7,TACROLIMUS LEVEL,7
27822-6,PROTEIN S PANEL,4
27823-4,PROTEIN S PANEL,4
27821-8,PROTEIN S PANEL,4
2991-8,TESTOSTERONE FREE MS/DIALYSIS,3
2986-8,TESTOSTERONE FREE MS/DIALYSIS,3
15432-8,TESTOSTERONE FREE MS/DIALYSIS,3
58413-6,CBC/DIFF AMBIGUOUS DEFAULT,4
2075-0,LC COMP. METABOLIC PANEL (14),3
2823-3,LC COMP. METABOLIC PANEL (14),3
2160-0,LC COMP. METABOLIC PANEL (14),3
2345-7,LC COMP. METABOLIC PANEL (14),3
3094-0,LC COMP. METABOLIC PANEL (14),3
17861-6,LC COMP. METABOLIC PANEL (14),3
1975-2,LC COMP. METABOLIC PANEL (14),3
2028-9,LC COMP. METABOLIC PANEL (14),3
1742-6,LC COMP. METABOLIC PANEL (14),3
1751-7,LC COMP. METABOLIC PANEL (14),3
1920-8,LC COMP. METABOLIC PANEL (14),3
2885-2,LC COMP. METABOLIC PANEL (14),3
1759-0,LC COMP. METABOLIC PANEL (14),3
10834-0,LC COMP. METABOLIC PANEL (14),3
6768-6,LC COMP. METABOLIC PANEL (14),3
2951-2,LC COMP. METABOLIC PANEL (14),3
88293-6,LC COMP. METABOLIC PANEL (14),3
3097-3,LC COMP. METABOLIC PANEL (14),3
88294-4,LC COMP. METABOLIC PANEL (14),3
34913-4,MANUAL DIFF CELLAVISION,10
32009-3,"CORTISOL FREE, 24 HOUR URINE",1
2147-7,"CORTISOL FREE, 24 HOUR URINE",1
2162-6,"CORTISOL FREE, 24 HOUR URINE",1
1763-2,"Q ALDOSTERONE, LC/MS",3
2915-7,"PLASMA RENIN ACTIVITY, LC/MS/MS",3
30894-0,"PLASMA RENIN ACTIVITY, LC/MS/MS",3
2639-3,"MYOGLOBIN, SERUM MAYO",22
32693-4,POCT WHOLE BLOOD PROFILE WITH VENOUS BLOOD GAS UNSOLICITED RESULTS,22
2027-1,POCT WHOLE BLOOD PROFILE WITH VENOUS BLOOD GAS UNSOLICITED RESULTS,23
35384-7,"ESTRADIOL, SENSITIVE",2
47320-7,"INFLAMMATORY BOWEL DISEASE PANEL, S (MAYO-DHI)",5
47321-5,"INFLAMMATORY BOWEL DISEASE PANEL, S (MAYO-DHI)",5
2669-0,"METANEPHRINES, FRACTIONATED FREE-MAYO",6
38494-1,"METANEPHRINES, FRACTIONATED FREE-MAYO",6
2075-0,HRT FEMALE PRE PELLET,1
2823-3,HRT FEMALE PRE PELLET,1
2160-0,HRT FEMALE PRE PELLET,1
62292-8,HRT FEMALE PRE PELLET,1
2986-8,HRT FEMALE PRE PELLET,1
2132-9,HRT FEMALE PRE PELLET,1
6690-2,HRT FEMALE PRE PELLET,1
3051-0,HRT FEMALE PRE PELLET,1
2243-4,HRT FEMALE PRE PELLET,1
11580-8,HRT FEMALE PRE PELLET,1
8099-4,HRT FEMALE PRE PELLET,1
3024-7,HRT FEMALE PRE PELLET,1
15067-2,HRT FEMALE PRE PELLET,1
2345-7,HRT FEMALE PRE PELLET,1
718-7,HRT FEMALE PRE PELLET,1
788-0,HRT FEMALE PRE PELLET,1
789-8,HRT FEMALE PRE PELLET,1
736-9,HRT FEMALE PRE PELLET,1
787-2,HRT FEMALE PRE PELLET,1
770-8,HRT FEMALE PRE PELLET,1
4544-3,HRT FEMALE PRE PELLET,1
786-4,HRT FEMALE PRE PELLET,1
785-6,HRT FEMALE PRE PELLET,1
777-3,HRT FEMALE PRE PELLET,1
3094-0,HRT FEMALE PRE PELLET,1
17861-6,HRT FEMALE PRE PELLET,1
1975-2,HRT FEMALE PRE PELLET,1
2028-9,HRT FEMALE PRE PELLET,1
1742-6,HRT FEMALE PRE PELLET,1
1751-7,HRT FEMALE PRE PELLET,1
1920-8,HRT FEMALE PRE PELLET,1
2885-2,HRT FEMALE PRE PELLET,1
1759-0,HRT FEMALE PRE PELLET,1
10834-0,HRT FEMALE PRE PELLET,1
6768-6,HRT FEMALE PRE PELLET,1
713-8,HRT FEMALE PRE PELLET,1
711-2,HRT FEMALE PRE PELLET,1
5905-5,HRT FEMALE PRE PELLET,1
751-8,HRT FEMALE PRE PELLET,1
742-7,HRT FEMALE PRE PELLET,1
731-0,HRT FEMALE PRE PELLET,1
2951-2,HRT FEMALE PRE PELLET,1
88293-6,HRT FEMALE PRE PELLET,1
3097-3,HRT FEMALE PRE PELLET,1
88294-4,HRT FEMALE PRE PELLET,1
3125-2,VASOACTIVE INTESTINAL PEPTIDE (VIP),3
5685-3,MERCURY (B),2
2518-9,POCT LACTIC ACID ARTERIAL UNSOLICITED RESULTS,38
,"CREATININE CLEARANCE, SERUM AND 24-HOUR URINE",9
6085-5,"ALLERGY EVALUATION 2, SOUTHEAST",2
6041-8,"ALLERGY EVALUATION 2, SOUTHEAST",2
6020-2,"ALLERGY EVALUATION 2, SOUTHEAST",2
6095-4,"ALLERGY EVALUATION 2, SOUTHEAST",2
7604-2,"ALLERGY EVALUATION 2, SOUTHEAST",2
6098-8,"ALLERGY EVALUATION 2, SOUTHEAST",2
6153-1,"ALLERGY EVALUATION 2, SOUTHEAST",2
6189-5,"ALLERGY EVALUATION 2, SOUTHEAST",2
6075-6,"ALLERGY EVALUATION 2, SOUTHEAST",2
6833-8,"ALLERGY EVALUATION 2, SOUTHEAST",2
33863-2,CYSTATIN C WITH EGFR,2
50210-4,CYSTATIN C WITH EGFR,2
2085-9,L - LIPID PANEL 339981,2
2093-3,L - LIPID PANEL 339981,2
2571-8,L - LIPID PANEL 339981,2
13457-7,L - LIPID PANEL 339981,2
13458-5,L - LIPID PANEL 339981,2
44712-8,"NTX-TELOPEPTIDE MAYO, U",3
27939-8,"NTX-TELOPEPTIDE MAYO, U",3
27811-9,ANTITHROMBIN III ACTIVITY AND ANTIGEN,3
1868-9,ANTITHROMBIN III ACTIVITY AND ANTIGEN,3
81322-0,SMALL BOWEL DISACCHARIDASE,28
29638-4,SMALL BOWEL DISACCHARIDASE,28
81314-7,SMALL BOWEL DISACCHARIDASE,28
30315-6,SMALL BOWEL DISACCHARIDASE,28
30372-7,SMALL BOWEL DISACCHARIDASE,28
30319-8,SMALL BOWEL DISACCHARIDASE,28
,"GLIADIN (DEAMINDATED) AB,IGA-MAYO",6
5193-8,"HEPATITIS B SURFACE AB IMMUNITY,QN TO ENDPOINT",3
6771-0,ALPHA-1-ANTITRYPSIN PHENOTYPE,5
51437-2,"PROTEIN, TOTAL AND PROTEIN ELECTROPHORESIS, RANDOM URINE",2
40661-1,"PROTEIN, TOTAL AND PROTEIN ELECTROPHORESIS, RANDOM URINE",3
51440-6,"PROTEIN, TOTAL AND PROTEIN ELECTROPHORESIS, RANDOM URINE",1
5622-6,CHROMIUM LEVEL,7
5627-5,COBALT,10
,NUMBER OF RHIG VIALS,1
6025-1,MITE AND MOLD GROUPING,6
6095-4,MITE AND MOLD GROUPING,6
6096-2,MITE AND MOLD GROUPING,6
6020-2,MITE AND MOLD GROUPING,6
6075-6,MITE AND MOLD GROUPING,6
6212-5,MITE AND MOLD GROUPING,6
6875-9,CA 15-3,124
33762-6,"CARDIO IQ PROBNP, N-TERMINAL",5
77307-7,"LEAD, BLOOD - MAYO",3
,CSF MANUAL DIFFERENTIAL - LAB ONLY - BSP,2
3124-5,"VANILLYLMANDELIC ACID (VMA) AND HOMOVANILLIC ACID (HVA), RANDOM, URINE",1
11146-8,"VANILLYLMANDELIC ACID (VMA) AND HOMOVANILLIC ACID (HVA), RANDOM, URINE",1
,UREA NITROGEN LEVEL 24 HOUR URINE,7
28009-9,UREA NITROGEN LEVEL 24 HOUR URINE,4
3095-7,UREA NITROGEN LEVEL 24 HOUR URINE,4
4625-0,HEMOGLOBINOPATHY EVALUATION,4
30413-9,MANUAL DIFF CELLAVISION,12
4059-2,"TOBRAMYCIN LEVEL, TROUGH",4
3024-7,"T4,FREE(DIRECT)",1
3051-0,FREE T-3,1
21365-2,VECTRA(R) WITH CV RISK,1
75628-8,VECTRA(R) WITH CV RISK,1
1988-5,VECTRA(R) WITH CV RISK,1
75633-8,VECTRA(R) WITH CV RISK,1
1847-3,VECTRA(R) WITH CV RISK,1
75630-4,VECTRA(R) WITH CV RISK,1
75632-0,VECTRA(R) WITH CV RISK,1
48663-9,VECTRA(R) WITH CV RISK,1
75631-2,VECTRA(R) WITH CV RISK,1
14049-1,VECTRA(R) WITH CV RISK,1
26881-3,VECTRA(R) WITH CV RISK,1
75629-6,VECTRA(R) WITH CV RISK,1
75627-0,VECTRA(R) WITH CV RISK,1
16142-2,"FECAL LIPIDS, TOTAL",3
13363-7,"FECAL LIPIDS, TOTAL",3
41282-5,BF MANUAL DIFFERENTIAL - LAB ONLY - BSP,1
28543-7,BF MANUAL DIFFERENTIAL - LAB ONLY - BSP,1
26452-3,BF MANUAL DIFFERENTIAL - LAB ONLY - BSP,2
2483-6,IGFBP-3 INSULIN-LIKE GROWTH FACT 3,6
2857-1,"PSA, SERUM (SERIAL MONITOR)",4
5583-0,ARSENIC BLOOD-MAYO LEGACY,1
77307-7,LEAD (VENOUS),1
11562-6,ACETYLCHOLINE RECEPTOR MODULATING ANTIBODY LEGACY,2
51797-9,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
88727-3,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
17342-7,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
13926-1,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
12854-6,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
54918-8,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
84923-2,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
33423-5,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
88740-6,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
41871-5,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
88726-5,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
11034-6,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
88734-9,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
33979-6,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
88743-0,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
31024-3,"AUTOIMMUNE NEUROLOGY ANTIBODY COMPREHENSIVE PANEL W/REFL, SERUM LEGACY",1
2823-3,CMP12+7AC,2
2951-2,CMP12+7AC,2
3094-0,CMP12+7AC,2
1920-8,CMP12+7AC,2
2532-0,CMP12+7AC,2
2324-2,CMP12+7AC,2
1742-6,CMP12+7AC,2
2571-8,CMP12+7AC,2
2093-3,CMP12+7AC,2
2345-7,CMP12+7AC,2
3084-1,CMP12+7AC,2
18182-6,CMP12+7AC,2
10834-0,CMP12+7AC,2
2075-0,CMP12+7AC,2
6768-6,CMP12+7AC,2
2777-1,CMP12+7AC,2
1975-2,CMP12+7AC,2
17861-6,CMP12+7AC,2
1751-7,CMP12+7AC,2
2885-2,CMP12+7AC,2
1759-0,CMP12+7AC,2
3097-3,CMP12+7AC,2
88294-4,CMP12+7AC,2
88293-6,CMP12+7AC,2
2160-0,CMP12+7AC,2
3024-7,"LC T4, FREE",7
3053-6,LC T3,1
88725-7,MYOSITIS SPECIFIC 11 AB PANEL,3
88733-1,MYOSITIS SPECIFIC 11 AB PANEL,3
56745-3,MYOSITIS SPECIFIC 11 AB PANEL,3
56731-3,MYOSITIS SPECIFIC 11 AB PANEL,3
56744-6,MYOSITIS SPECIFIC 11 AB PANEL,3
82425-0,MYOSITIS SPECIFIC 11 AB PANEL,3
88739-8,MYOSITIS SPECIFIC 11 AB PANEL,3
88732-3,MYOSITIS SPECIFIC 11 AB PANEL,3
69557-7,MYOSITIS SPECIFIC 11 AB PANEL,3
63559-9,MYOSITIS SPECIFIC 11 AB PANEL,3
45149-2,MYOSITIS SPECIFIC 11 AB PANEL,3
2028-9,BMP8,2
2075-0,BMP8,2
2160-0,BMP8,2
2345-7,BMP8,2
3094-0,BMP8,2
17861-6,BMP8,2
2823-3,BMP8,2
88293-6,BMP8,2
2951-2,BMP8,2
88294-4,BMP8,2
51969-4,"INHERITEST CARRIER SCREEN, SOCIETY-GUIDED PANEL (14 GENES)",5
2924-9,VITAMIN B2,7
2161-8,"COMPLIANCE DRUG ANALY, NO THC",8
2950-4,"SODIUM, BODY FLUID",4
2821-7,"POTASSIUM, BODY FLUID",5
2895-1,LEAD STANDARD PROFILE BLOOD LEGACY,1
2075-0,"BASIC METABOLIC PANEL, PLASMA",3
2823-3,"BASIC METABOLIC PANEL, PLASMA",3
2160-0,"BASIC METABOLIC PANEL, PLASMA",3
2345-7,"BASIC METABOLIC PANEL, PLASMA",3
3094-0,"BASIC METABOLIC PANEL, PLASMA",3
17861-6,"BASIC METABOLIC PANEL, PLASMA",3
2028-9,"BASIC METABOLIC PANEL, PLASMA",3
2951-2,"BASIC METABOLIC PANEL, PLASMA",3
88293-6,"BASIC METABOLIC PANEL, PLASMA",3
88294-4,"BASIC METABOLIC PANEL, PLASMA",3
18262-6,LDL CHOLESTEROL (DIRECT),2
11546-9,GYN REPORT,1
33559-6,"IMMUNOGLOBULIN TOTAL LIGHT CHAINS, URINE",11
27365-6,"IMMUNOGLOBULIN TOTAL LIGHT CHAINS, URINE",11
27394-6,"IMMUNOGLOBULIN TOTAL LIGHT CHAINS, URINE",11
,NON-ALCOHOLIC FATTY LIVER DISEASE CASCADE (NAFLD),3
77216-0,EARLY SJOGRENS SYNDROME PROFILE,1
77214-5,EARLY SJOGRENS SYNDROME PROFILE,1
77209-5,EARLY SJOGRENS SYNDROME PROFILE,1
77210-3,EARLY SJOGRENS SYNDROME PROFILE,1
77208-7,EARLY SJOGRENS SYNDROME PROFILE,1
77215-2,EARLY SJOGRENS SYNDROME PROFILE,1
77211-1,EARLY SJOGRENS SYNDROME PROFILE,1
77213-7,EARLY SJOGRENS SYNDROME PROFILE,1
77212-9,EARLY SJOGRENS SYNDROME PROFILE,1
721-1,PLASMA FREE HEMOGLOBIN,32
11580-8,TSH 328821,1
3013-0,THYROGLOBULIN W/ANTITHYROGLOBIN AB,3
14979-9,LUPUS ANTICOAGULANT PROFILE LEGACY,1
5902-2,LUPUS ANTICOAGULANT PROFILE LEGACY,1
6301-6,LUPUS ANTICOAGULANT PROFILE LEGACY,1
6303-2,LUPUS ANTICOAGULANT PROFILE LEGACY,1
34571-0,LUPUS ANTICOAGULANT PROFILE LEGACY,1
88725-7,MYOMARKER 3 PLUS PROFILE (RDL),2
88739-8,MYOMARKER 3 PLUS PROFILE (RDL),2
35333-4,MYOMARKER 3 PLUS PROFILE (RDL),2
82992-9,MYOMARKER 3 PLUS PROFILE (RDL),2
82425-0,MYOMARKER 3 PLUS PROFILE (RDL),2
31562-2,MYOMARKER 3 PLUS PROFILE (RDL),2
57662-9,MYOMARKER 3 PLUS PROFILE (RDL),2
70257-1,MYOMARKER 3 PLUS PROFILE (RDL),2
25418-5,RUB AB+VARAB+RUBEOAB+MUMIGG,1
5334-8,RUB AB+VARAB+RUBEOAB+MUMIGG,1
5244-9,RUB AB+VARAB+RUBEOAB+MUMIGG,1
5403-1,RUB AB+VARAB+RUBEOAB+MUMIGG,1
14251-3,"MITOCHONDRIAL ANTIBODIES, M2",5
6273-7,F256-IGE WALNUT LEGACY,1
6190-3,F007-IGE OAT,1
6082-2,F003-IGE CODFISH,3
6246-3,F024-IGE SHRIMP,3
6248-9,F014-IGE SOYBEAN,3
6276-0,F004-IGE WHEAT LEGACY,1
6087-1,F008-IGE CORN,3
7691-9,F338-IGE SCALLOP,3
6125-9,L - F079-IGE GLUTEN - 602497 LEGACY,1
8099-4,ANTI-TPO AB (RDL),1
3013-0,THYROGLOBULIN BY RIA,4
31406-2,"ANTIGLOMERULAR BM AB, QN LEGACY",2
5133-4,ANTI-DNASE B (STREPTOCOCCAL) ANTIBODIES,5
11572-5,RHEUMATOID ARTHRITIS PROFILE LEGACY,5
57093-7,RHEUMATOID ARTHRITIS PROFILE LEGACY,5
2828-2,"POTASSIUM, URINE LEGACY",4
21194-6,"CHLORIDE, URINE LEGACY",3
18488-7,"CALCIUM, RANDOM URINE LEGACY",1
2357-2,GLUCOSE 6 PHOSPHATE DEHYDROGENASE,1
49502-8,GLUCOSE 6 PHOSPHATE DEHYDROGENASE,6
17791-5,LC ANA,1
17792-3,LC ANA,1
29374-6,LC ANA,1
11090-8,LC ANA,1
5130-0,LC ANA,1
6078-0,ALLERGENS W/TOTAL IGE AREA 2,1
6152-3,ALLERGENS W/TOTAL IGE AREA 2,1
6095-4,ALLERGENS W/TOTAL IGE AREA 2,1
6281-0,ALLERGENS W/TOTAL IGE AREA 2,1
6209-1,ALLERGENS W/TOTAL IGE AREA 2,1
7604-2,ALLERGENS W/TOTAL IGE AREA 2,1
6085-5,ALLERGENS W/TOTAL IGE AREA 2,1
6181-2,ALLERGENS W/TOTAL IGE AREA 2,1
6244-8,ALLERGENS W/TOTAL IGE AREA 2,1
19113-0,ALLERGENS W/TOTAL IGE AREA 2,1
6096-2,ALLERGENS W/TOTAL IGE AREA 2,1
6075-6,ALLERGENS W/TOTAL IGE AREA 2,1
6178-8,ALLERGENS W/TOTAL IGE AREA 2,1
6212-5,ALLERGENS W/TOTAL IGE AREA 2,1
6090-5,ALLERGENS W/TOTAL IGE AREA 2,1
6020-2,ALLERGENS W/TOTAL IGE AREA 2,1
6109-3,ALLERGENS W/TOTAL IGE AREA 2,1
6025-1,ALLERGENS W/TOTAL IGE AREA 2,1
15283-5,ALLERGENS W/TOTAL IGE AREA 2,1
7155-5,ALLERGENS W/TOTAL IGE AREA 2,1
6189-5,ALLERGENS W/TOTAL IGE AREA 2,1
6265-3,ALLERGENS W/TOTAL IGE AREA 2,1
6098-8,ALLERGENS W/TOTAL IGE AREA 2,1
6041-8,ALLERGENS W/TOTAL IGE AREA 2,1
6833-8,ALLERGENS W/TOTAL IGE AREA 2,1
87408-1,"USTEKINUMAB QN WITH ANTIBODIES, S (MAYO)",1
87409-9,"USTEKINUMAB QN WITH ANTIBODIES, S (MAYO)",1
2571-8,CARDIO IQ(R) LIPID PANEL WITH REFLEX TO DIRECT LDL LEGACY,1
2093-3,CARDIO IQ(R) LIPID PANEL WITH REFLEX TO DIRECT LDL LEGACY,1
2085-9,CARDIO IQ(R) LIPID PANEL WITH REFLEX TO DIRECT LDL LEGACY,1
9830-1,CARDIO IQ(R) LIPID PANEL WITH REFLEX TO DIRECT LDL LEGACY,1
43396-1,CARDIO IQ(R) LIPID PANEL WITH REFLEX TO DIRECT LDL LEGACY,1
13457-7,CARDIO IQ(R) LIPID PANEL WITH REFLEX TO DIRECT LDL LEGACY,1
3530-3,"DRUG MONITOR, PANEL 1, W/CONF, URINE",1
2236-8,"VITAMIN D, 1,25 + 25-HYDROXY",13
1990-1,"VITAMIN D, 1,25 + 25-HYDROXY",13
1649-3,"VITAMIN D, 1,25 + 25-HYDROXY",13
62291-0,"VITAMIN D, 1,25 + 25-HYDROXY",13
86894-3,ADALIMUMAB QUANTITATIVE WITH REFLEX TO ANTIBODY- MAYO,6
74868-1,"IGG HEAVY LIGHT CHAINS(HLC), S",1
